"Wavelength" "min195" "min120" "min90" "min60" "min30" "min15" "min5" "min0"
220.256 -0.156243118255891 -0.105090485765689 -0.195447901440802 -0.188826935449282 -0.178400174367916 -0.207259450171821 -0.308966118313542 -0.164282363977486
220.851 -0.134551860823607 -0.128796698063287 -0.2106911672583 -0.17746086210594 -0.186464690496949 -0.212843642611684 -0.302756291535026 -0.169090056285178
221.446 -0.153160096894957 -0.151762091226585 -0.254332846105659 -0.213596397169204 -0.197253705318221 -0.234428694158076 -0.334023314086502 -0.185975609756098
222.042 -0.136864126844307 -0.180865700074082 -0.265817498433911 -0.231825005361355 -0.203901482127289 -0.252362542955326 -0.329992373896939 -0.19875703564728
222.637 -0.0991069863466197 -0.151762091226585 -0.220087700981416 -0.19279433840875 -0.188099389712293 -0.234321305841924 -0.305697788430112 -0.172725140712946
223.232 -0.0726712177934376 -0.118848555402688 -0.176759239924828 -0.160840660518979 -0.140366172624237 -0.193835910652921 -0.242292188691579 -0.119723264540338
223.827 -0.090564578286721 -0.134088263308287 -0.180935477135101 -0.159017799699764 -0.140802092414996 -0.209085051546392 -0.259505392744308 -0.140243902439024
224.422 -0.0857740585774059 -0.123081807598688 -0.18824389225308 -0.142075916791765 -0.125544899738448 -0.198131443298969 -0.250354069070705 -0.134498123827392
225.017 -0.0861043822946488 -0.138639009418986 -0.192837753184381 -0.161805704482093 -0.11922406277245 -0.203930412371134 -0.276609652467589 -0.165924015009381
225.612 -0.108038262497247 -0.156524499947084 -0.226143244936312 -0.175745228393738 -0.139712292938099 -0.207044673539519 -0.297526963721538 -0.222091932457786
226.207 -0.108407795639727 -0.130384167636787 -0.217686364585508 -0.155157623847309 -0.115627724498692 -0.200708762886598 -0.286196753458982 -0.195825515947467
226.802 -0.0924836930191588 -0.140438141602286 -0.209333890164961 -0.156122667810422 -0.145597210113339 -0.212414089347079 -0.289138250354069 -0.218808630393996
227.397 -0.0654040960140938 -0.136099058101386 -0.213823345166005 -0.154299806991207 -0.131974716652136 -0.1696735395189 -0.2668046628173 -0.205558161350844
227.991 -0.0771856419290905 -0.133876600698487 -0.233138442263521 -0.16126956894703 -0.108870967741935 -0.15979381443299 -0.242727966009369 -0.200750469043152
228.586 -0.0513102840783968 -0.128690866758387 -0.220714136562957 -0.146901136607334 -0.107890148212729 -0.162048969072165 -0.230308312452337 -0.195239212007505
